Xueming Luo,https://scholar.google.com//citations?hl=en&user=YibmWJwAAAAJ,"Charles Gilliland Distinguished Professor of Marketing, IS, and Strategy, Temple University",20329,"['mobile', 'marketing', 'information systems', 'behavioral economics', 'strategic analytics data science']","['/citations?hl=en&view_op=search_authors&mauthors=label:mobile', '/citations?hl=en&view_op=search_authors&mauthors=label:marketing', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:behavioral_economics', '/citations?hl=en&view_op=search_authors&mauthors=label:strategic_analytics_data_science']"
Manoj Thulasidas,https://scholar.google.com//citations?hl=en&user=hQi0WZAAAAAJ,Singapore Management University,20311,"['Data Analytics', 'Information Systems', 'Foundational Physics']","['/citations?hl=en&view_op=search_authors&mauthors=label:data_analytics', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:foundational_physics']"
Alistair Moffat,https://scholar.google.com//citations?hl=en&user=r3xSME0AAAAJ,"School of Computing and Information Systems, The University of Melbourne",20304,"['Compression', 'indexing', 'retrieval', 'search', 'information systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:compression', '/citations?hl=en&view_op=search_authors&mauthors=label:indexing', '/citations?hl=en&view_op=search_authors&mauthors=label:retrieval', '/citations?hl=en&view_op=search_authors&mauthors=label:search', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
doug vogel,https://scholar.google.com//citations?hl=en&user=p8YrZKsAAAAJ,"Professor of Information Systems, Harbin Institute of Technology",19939,"['mobile applications', 'e-health', 'e-learning', 'information systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:mobile_applications', '/citations?hl=en&view_op=search_authors&mauthors=label:e_health', '/citations?hl=en&view_op=search_authors&mauthors=label:e_learning', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
"Nripendra P. Rana, PhD, SFHEA",https://scholar.google.com//citations?hl=en&user=Ax6fYwQAAAAJ,"Professor in Marketing at College of Business and Economics, Qatar University, Doha, Qatar",19485,"['Electronic Government', 'Information Systems', 'Technology Adoption', 'Digital Marketing', 'Social Media Marketing']","['/citations?hl=en&view_op=search_authors&mauthors=label:electronic_government', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:technology_adoption', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_marketing', '/citations?hl=en&view_op=search_authors&mauthors=label:social_media_marketing']"
Tiago Oliveira,https://scholar.google.com//citations?hl=en&user=RXwZPpoAAAAJ,"Full Professor at NOVA IMS, Universidade Nova de Lisboa",19215,"['Information Systems', 'Technology Adoption', 'IT Value', 'Privacy']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:technology_adoption', '/citations?hl=en&view_op=search_authors&mauthors=label:it_value', '/citations?hl=en&view_op=search_authors&mauthors=label:privacy']"
dario maio,https://scholar.google.com//citations?hl=en&user=Zbrh680AAAAJ,"Alma Mater Honorary Professor, Università di Bologna",19016,"['biometric systems', 'fingerprint recognition', 'smart city', 'artificial vision', 'information systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:biometric_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:fingerprint_recognition', '/citations?hl=en&view_op=search_authors&mauthors=label:smart_city', '/citations?hl=en&view_op=search_authors&mauthors=label:artificial_vision', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Jan Marco Leimeister,https://scholar.google.com//citations?hl=en&user=1mnRxdEAAAAJ,"Chair for Information Systems, University of St. Gallen + University of Kassel",18964,"['Information Systems', 'Service Engineering', 'Crowdsourcing', 'Digital Work', 'Digital Transformation']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:service_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:crowdsourcing', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_work', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_transformation']"
Brian T. Pentland,https://scholar.google.com//citations?hl=en&user=qyT-1AcAAAAJ,Michigan State University,18937,"['Organizational Routines', 'Routine Dynamics', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:organizational_routines', '/citations?hl=en&view_op=search_authors&mauthors=label:routine_dynamics', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Thomas Hess,https://scholar.google.com//citations?hl=en&user=KJxFh1gAAAAJ,University of Munich (LMU),18715,"['Digital Transformation', 'Media and Tech Business', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:digital_transformation', '/citations?hl=en&view_op=search_authors&mauthors=label:media_and_tech_business', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
